Date: 20190221, day_night: 1, strategy: None

serial_no: 470000000100, symbol: PB3M, ord_price: 2037.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 470000000100, symbol: PB3M, ord_price: 2037.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 2037.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 490000000100, symbol: PB3M, ord_price: 2037.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 490000000100, symbol: PB3M, ord_price: 2037.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 490000000100, symbol: PB3M, ord_price: 2037.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 490000000100, symbol: PB3M, ord_price: 2037.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 2037.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 510000000100, symbol: PB3M, ord_price: 2036.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 510000000100, symbol: PB3M, ord_price: 2036.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 510000000100, symbol: PB3M, ord_price: 2036.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 2036.500000, trd_volume: 1, entrust_status: c, msg_type: [trade_rtn]
serial_no: 520000000100, symbol: pb1905, ord_price: 16820.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 520000000100, symbol: pb1905, ord_price: 16820.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 520000000100, symbol: pb1905, ord_price: 16820.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 16820.000000, trd_volume: 4, entrust_status: c, msg_type: [trade_rtn]
serial_no: 530000000100, symbol: PB3M, ord_price: 2037.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 530000000100, symbol: PB3M, ord_price: 2037.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 530000000100, symbol: PB3M, ord_price: 2037.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 530000000100, symbol: PB3M, ord_price: 2037.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 2037.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 550000000100, symbol: PB3M, ord_price: 2036.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 550000000100, symbol: PB3M, ord_price: 2036.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 550000000100, symbol: PB3M, ord_price: 2036.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 2036.500000, trd_volume: 1, entrust_status: c, msg_type: [trade_rtn]
serial_no: 560000000100, symbol: pb1905, ord_price: 16805.0, ord_volume: 5, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 560000000100, symbol: pb1905, ord_price: 16805.0, ord_volume: 5, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 560000000100, symbol: pb1905, ord_price: 16805.0, ord_volume: 5, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
